zip,city,street,state,visited
27520,CLAYTON,604 E FRONT ST,NC,true
27012,CLEMMONS,3630 CLEMMONS RD,NC,false
27013,CLEVELAND,105 W Main St,NC,false
28024,CLIFFSIDE,244 N Main St,NC,false
27233,CLIMAX,1319 NC-62 E,NC,true
28328,CLINTON,1011 Sunset Ave,NC,false
28721,CLYDE,8639 Carolina Blvd,NC,false
27521,COATS,43 W Main St,NC,true
27922,COFIELD,1240 Ahoskie-Cofield Rd,NC,false
27923,COINJOCK,183 Worth Guard Rd,NC,false
27924,COLERAIN,107 W River St,NC,false
27235,COLFAX,9052 W Market St,NC,false
28611,COLLETTSVILLE,4323 Collettsville Rd,NC,false
27925,COLUMBIA,114 S Broad St,NC,false
28722,COLUMBUS,126 Ward St,NC,false
28522,COMFORT,4262 NC-41 W,NC,false
27818,COMO,1226 US Highway 258 N,NC,false
28025,CONCORD,66 McCachern Blvd SE,NC,false
27819,CONETOE,206 W Church St,NC,false
28612,CONNELLY SPRINGS,1015 US-70,NC,false
28613,CONOVER,201 1st St E,NC,false
27820,CONWAY,205 S Church St,NC,true
27014,COOLEEMEE,7814 NC-801 S,NC,false
27926,CORAPEAKE,1398 NC-32 N,NC,false
28330,CORDOVA,232 Ledbetter St,NC,true
28031,CORNELIUS,20311 Chartwell Center Dr,NC,false
27927,COROLLA,1150 Ocean Trail,NC,false
28434,COUNCIL,11740 NC-211 E,NC,false
28523,COVE CITY,201 E Sunset Blvd,NC,true
28032,CRAMERTON,111 Center St,NC,false
27522,CREEDMOOR,2157 E Wilton Ave,NC,true
28615,CRESTON,636 3 Top Rd,NC,false
27928,CRESWELL,201 W Main St,NC,false
28616,CROSSNORE,3 Fountain Cir,NC,false
28033,CROUSE,150 Crouse Rd,NC,false
28617,CRUMPLER,9247 Old Hwy 16,NC,false
28903,CULBERSON,2400 NC-60,NC,false
28723,CULLOWHEE,4710 LITTLE SAVANNAH RD,NC,true
28331,CUMBERLAND,2304 Wingate Rd,NC,false
28435,CURRIE,28480 NC-210,NC,false
28034,DALLAS,3151 Dallas Hgh Shls Hwy,NC,false
28724,DANA,10 Ridge Rd,NC,false
27016,DANBURY,303 N Main St,NC,false
28036,DAVIDSON,99 JACKSON ST,NC,false
28524,DAVIS,272 Horseshoe Rd,NC,false
28618,DEEP GAP,7378 OLD 421 S,NC,false
28525,DEEP RUN,3466 Old Hwy 11,NC,true
28436,DELCO,30 DELCO PROSPER RD,NC,false
27239,DENTON,110 W Salisbury St,NC,false
28037,DENVER,3593 Denver Dr,NC,false
28725,DILLSBORO,385 Haywood Rd,NC,true
27017,DOBSON,214 W Kapp St,NC,false
28526,DOVER,115 W Kornegay St,NC,true
28619,DREXEL,200 Church St,NC,false
